,True min,Feature Range
0,3.00071446518988,361.41819833802276
1,0.001208033791055069,11.998035619436122
2,-11608.221572797234,24223.13861729137
3,-11777.145549718174,22290.5661347989
4,3292.1535595359333,148335.42772520613
5,0.500083863735199,0.4813014268875122
6,0.010145723819732666,0.9323539137840271
7,-1.0,2.0
8,1.002859300494733,206963.8464124463
9,0.0,1.0
10,-10756.114094314047,19848.343031095625
11,-7357.803269309656,14909.872543724237
12,3364.699187758416,124506.06153655879
13,0.5000496506690979,0.48020249605178833
14,0.010895341634750366,0.9233963787555695
15,-1.0,2.0
16,1.0009041738749336,668182.8682535986
17,0.0,1.0
18,-15335.384040965597,32206.027042716825
19,-11578.004586483446,24244.514491914582
20,3690.8798101526704,165458.13953688022
21,0.5000020265579224,0.48066866397857666
22,0.010845214128494263,0.8969425857067108
23,-1.0,2.0
24,1.0045303154989689,111102.66795327015
25,0.0,1.0
